,index,name,injury_10,injury_11,injury_12,injury_13,injury_14,injury_15,injury_16,injury_17,injury_18,height,weight,year_start,year_end,position,birth_date,played_10,played_11,played_12,played_13,played_14,played_15,played_16,played_17,played_18,G_position,F_position,C_position,years_played_before_2010,year_of_birth,age_at_2010,total_injuries,total_years_played,total_number_injuries
69,70,Dav West,0,1,0,0,0,0,0,0,0,206.0,113.0,2004,2018,F,29-Aug-80,1,1,1,1,1,1,1,1,1,0,1,0,6,1980,30,1,9,1
70,71,C.J Miles,0,1,1,0,1,0,2,0,0,185.0,79.0,2006,2018,G-F,18-Apr-87,1,1,1,1,1,1,1,1,1,0,0,0,4,1987,23,5,9,5
71,72,Eri Bledsoe,0,2,0,0,1,1,0,1,0,185.0,86.0,2011,2018,G,9-Dec-89,0,1,1,1,1,1,1,1,1,1,0,0,0,1989,21,5,8,5
72,73,Der Caracter,0,1,0,0,0,0,0,0,0,206.0,124.0,2011,2011,F,4-May-88,0,1,0,0,0,0,0,0,0,0,1,0,0,1988,22,1,1,1
73,74,Edu Najera,0,1,0,0,0,0,0,0,0,203.0,108.0,2001,2012,F,11-Jul-76,1,1,1,0,0,0,0,0,0,0,1,0,9,1976,34,1,3,1
74,76,DaJ Summers,0,1,1,0,0,0,0,0,0,203.0,104.0,2010,2013,F,24-Jan-88,1,1,1,1,0,0,0,0,0,0,1,0,0,1988,22,2,4,2
75,77,Ima Shumpert,0,1,2,0,0,0,1,3,0,196.0,99.0,2012,2018,G,26-Jun-90,0,0,1,1,1,1,1,1,1,1,0,0,0,1990,20,7,7,7
76,78,Eri Gordon,0,1,0,2,1,0,0,0,1,193.0,97.0,2009,2018,G,25-Dec-88,1,1,1,1,1,1,1,1,1,1,0,0,1,1988,22,6,9,6
77,79,Jas Collins,0,1,0,0,0,0,0,0,0,193.0,88.0,2002,2014,C,2-Dec-78,1,1,1,1,1,0,0,0,0,0,0,1,8,1978,32,1,5,1
78,80,Mal Lee,0,1,1,0,0,0,0,0,0,196.0,90.0,2012,2015,G,22-May-90,0,0,1,1,1,1,0,0,0,1,0,0,0,1990,20,2,4,2
79,81,Luc Mbah,0,0,4,1,0,1,0,1,1,201.0,99.0,2009,2018,F,9-Sep-86,1,1,1,1,1,1,1,1,1,0,1,0,1,1986,24,8,9,8
80,82,DeS Stevenson,0,0,4,0,0,0,0,0,0,196.0,95.0,2001,2013,G,3-Apr-81,1,1,1,1,0,0,0,0,0,1,0,0,9,1981,29,4,4,4
81,83,Dor Wright,0,0,1,0,0,0,0,0,0,206.0,92.0,2005,2015,F-G,2-Dec-85,1,1,1,1,1,1,0,0,0,0,0,0,5,1985,25,1,6,1
82,84,DeS Diop,0,0,3,2,0,0,0,0,0,213.0,136.0,2002,2013,C,30-Jan-82,1,1,1,1,0,0,0,0,0,0,0,1,8,1982,28,5,4,5
